municipal,tax,churchtax,child_deduction,connected_to_center,distance_to_center,cost_group
Fugloyar,16.00,0.60,10000,0,5,1
Viðareiðis,20.50,0.60,7500,1,4,1
Hvannasunds,19.75,0.90,7000,1,4,1
Klaksvíkar,20.75,0.60,5500,1,3,3
Kunoyar,18.75,0.90,7000,1,4,1
Fuglafjarðar,21.25,0.60,7500,1,3,3
Eystur,21.00,0.60,8000,1,2,2
Nes,20.50,0.60,5500,1,2,4
Runavíkar,21.50,0.60,8000,1,2,4
Sjóvar,21.00,0.60,7000,1,2,4
Eiðis,18.75,0.90,7500,1,2,2
Sunda,21.50,0.60,6000,1,2,2
Kvívíkar,21.00,0.60,5100,1,3,1
Vestmanna,21.25,0.60,5000,1,3,2
Vága,22.00,0.60,5500,1,3,2
Sørvágs,21.00,0.60,6000,1,3,2
Sands,20.75,0.60,8500,0,5,1
Skopunar,21.00,0.60,6000,0,5,1
Skálavíkar,21.00,0.60,6000,0,5,1
Húsavíkar,21.00,0.60,6000,0,5,1
Skúvoyar,16.00,0.60,8000,0,5,1
Hvalbiar,20.75,0.60,6500,0,5,1
Tvøroyrar,20.90,0.60,7000,0,5,2
Fámjins,16.00,0.60,7000,0,5,1
Hovs,18.00,0.60,8000,0,5,1
Porkeris,20.75,0.60,7500,0,5,1
Vágs,21.50,0.60,5500,0,5,1
Sumbiar,19.00,0.60,6500,0,5,1
Tórshavnar,19.00,0.60,8000,1,1,5